Card_id,Bname,Address,Phone,Ssn
ID000109,Jimmy Ellis,"8 Nevada Place, Dallas, TX",(972) 742-8738,466926624
ID000110,Jose Perez,"4463 Commercial Circle, Richardson, TX",(469) 852-3133,454648101
ID000111,Katherine Dean,"4978 Cordelia Way, Dallas, TX",(972) 886-7232,909186864
ID000112,Ashley Jackson,"676 David Road, Dallas, TX",(469) 976-0450,203549198
ID000113,Kathryn Hart,"29 Dexter Circle, Dallas, TX",(972) 900-3590,177458737
ID000114,Dennis Ruiz,"18784 Browning Circle, Dallas, TX",(972) 974-1505,279966074
ID000115,Sharon Cox,"4 Hoffman Street, Dallas, TX",(214) 915-0820,561913511
ID000116,Ruby Burke,"5 Swallow Avenue, Dallas, TX",(972) 928-8965,325124236
ID000117,Jerry Stewart,"54494 Kenwood Trail, Dallas, TX",(469) 817-5662,537250563
ID000118,Howard Fisher,"2 Reinke Lane, Plano, TX",(972) 325-6683,508365238
ID000119,Eric Phillips,"578 Westend Pass, Dallas, TX",(972) 893-0831,663897131
ID000120,Albert Cruz,"04 Shopko Way, Dallas, TX",(972) 471-4420,582890521
ID000121,Timothy Harrison,"04099 Anhalt Place, Dallas, TX",(214) 849-7879,112244907
ID000122,Ronald Phillips,"4632 Brentwood Hill, Dallas, TX",(469) 945-4638,593248597
ID000123,Antonio Bishop,"212 Memorial Lane, Richardson, TX",(469) 835-8047,152069743
ID000124,Howard Green,"9 Florence Trail, Dallas, TX",(214) 875-8195,917730651
ID000125,Willie Murphy,"09 Loeprich Parkway, Richardson, TX",(214) 954-5495,550664068
ID000126,Christine Washington,"95086 Eliot Alley, Dallas, TX",(469) 844-5383,151320622
ID000127,Angela Ellis,"61 Chinook Avenue, Dallas, TX",(469) 912-7557,363529311
ID000128,Kathy Wagner,"1 Columbus Crossing, Plano, TX",(214) 958-2980,498979543
ID000129,Antonio Carr,"6996 Arizona Avenue, Dallas, TX",(469) 724-0803,109593700
ID000130,Samuel Ellis,"69968 Meadow Ridge Alley, Dallas, TX",(469) 957-8249,919117074
ID000131,Bruce Williamson,"51 Maywood Place, Richardson, TX",(214) 969-6651,532193189
ID000132,Ruby Mcdonald,"031 Ohio Lane, Dallas, TX",(214) 970-5621,186612257
ID000133,Jack Larson,"43086 Dexter Way, Dallas, TX",(469) 913-6292,758820981
ID000134,Tammy Hunter,"08 Marquette Pass, Dallas, TX",(214) 919-0495,789850156
ID000135,Mildred Richards,"6863 Warbler Crossing, Dallas, TX",(469) 636-7310,144612857
ID000136,Janet Dixon,"1 Ridgeway Terrace, Dallas, TX",(972) 381-9665,812344775
ID000137,Antonio Hamilton,"2545 Lerdahl Center, Dallas, TX",(214) 886-6681,605135959
ID000138,Louise Jordan,"7326 Reindahl Point, Dallas, TX",(972) 518-9421,873831740
ID000139,Linda Hunt,"710 Lighthouse Bay Point, Dallas, TX",(972) 754-7045,992254077
ID000140,Joan Webb,"90 Bashford Avenue, Dallas, TX",(469) 955-0632,222460064
ID000141,Kevin Frazier,"47 Bluejay Hill, Dallas, TX",(972) 965-3683,135711523
ID000142,Todd Schmidt,"4 Lakeland Pass, Dallas, TX",(214) 903-6828,490888407
ID000143,Andrea Sims,"898 Killdeer Pass, Dallas, TX",(469) 988-0761,797954607
ID000144,Barbara Brooks,"305 Mendota Plaza, Dallas, TX",(469) 958-8251,959243477
ID000145,Kenneth Anderson,"246 Shopko Drive, Richardson, TX",(972) 998-5406,600790040
ID000146,Jessica Knight,"36 Forest Park, Richardson, TX",(469) 961-0488,704596830
ID000147,Dorothy Adams,"2483 Melody Plaza, Richardson, TX",(972) 881-8472,542879344
ID000148,Phillip Adams,"4 Derek Point, Dallas, TX",(972) 918-0335,634808812
ID000149,James Carpenter,"6668 Ilene Court, Dallas, TX",(214) 820-8276,599726050
ID000150,Amy Lopez,"715 Westend Avenue, Dallas, TX",(469) 830-1019,751570699
ID000151,Frank Gomez,"61280 Mallory Parkway, Plano, TX",(214) 962-2973,570719526
ID000152,Debra Rogers,"4 Southridge Place, Richardson, TX",(469) 753-7894,585658864
ID000153,Aaron Chapman,"840 Messerschmidt Plaza, Dallas, TX",(972) 753-3651,784423645
ID000154,Jerry Cruz,"48314 Muir Crossing, Dallas, TX",(214) 973-8302,327002811
ID000155,Gerald Mccoy,"71113 Corry Circle, Plano, TX",(469) 758-3820,209645805
ID000156,Matthew Ward,"3726 Oneill Terrace, Plano, TX",(972) 668-2488,352525321
ID000157,Marilyn Andrews,"61664 Warrior Street, Dallas, TX",(972) 831-4215,312336562
ID000158,Lawrence Coleman,"0 Scoville Plaza, Plano, TX",(469) 987-3187,585358539
ID000159,Sarah Burton,"65230 Prairie Rose Point, Plano, TX",(972) 736-0106,766726736
ID000160,Gerald White,"82 Delaware Plaza, Plano, TX",(214) 774-5757,519221664
ID000161,Shawn Robertson,"9 Troy Alley, Dallas, TX",(214) 943-9366,811232706
ID000162,Samuel Arnold,"1748 Monterey Road, Dallas, TX",(469) 741-5231,983171073
ID000163,Ruby Mcdonald,"00621 Killdeer Crossing, Dallas, TX",(469) 941-5043,153095087
ID000164,Lillian Kim,"47585 Nova Drive, Dallas, TX",(214) 740-2312,208162580
ID000165,Pamela Bradley,"2 Lakewood Gardens Place, Richardson, TX",(469) 871-3326,604544201
ID000166,Ralph Chavez,"15739 Vera Plaza, Dallas, TX",(214) 598-5319,764512571
ID000167,Martin Richards,"8 New Castle Trail, Dallas, TX",(469) 976-0263,102721991
ID000168,Chris Simmons,"46833 Farmco Junction, Dallas, TX",(469) 810-0333,743821324
ID000169,Martin Stevens,"573 Oneill Hill, Dallas, TX",(469) 570-2393,915276165
ID000170,Lisa West,"55586 Ronald Regan Lane, Dallas, TX",(972) 998-4345,615688488
ID000171,Daniel Marshall,"3 Manitowish Crossing, Dallas, TX",(469) 730-4725,538661965
ID000172,John Hicks,"81 Northfield Place, Richardson, TX",(972) 727-1591,981953778
ID000173,Roger Harrison,"9 Meadow Vale Drive, Dallas, TX",(469) 941-5954,802736786
ID000174,Teresa Thompson,"06364 Gerald Street, Dallas, TX",(972) 670-1547,777087277
ID000175,Arthur Freeman,"51652 Russell Street, Dallas, TX",(469) 994-4509,445902407
ID000176,Howard Simpson,"95 Redwing Lane, Dallas, TX",(972) 910-0392,909023006
ID000177,Christopher Spencer,"6 Northfield Crossing, Dallas, TX",(214) 821-9650,790101835
ID000178,Theresa Wood,"0420 Westport Circle, Dallas, TX",(469) 994-1901,847641856
ID000179,Lillian Wright,"82972 Raven Road, Dallas, TX",(972) 960-5502,930978594
ID000180,Sara Rogers,"7 Twin Pines Circle, Dallas, TX",(214) 984-5323,823594050
ID000181,Linda Richards,"046 Harper Center, Dallas, TX",(214) 998-2489,831372302
ID000182,Albert Cunningham,"414 Summer Ridge Trail, Richardson, TX",(972) 716-3924,139708042
ID000183,Debra Holmes,"22 Bluejay Road, Plano, TX",(972) 954-8773,611169228
ID000184,Jason Davis,"82931 Cardinal Junction, Dallas, TX",(214) 969-9787,248335177
ID000185,Justin Fowler,"1958 Leroy Way, Dallas, TX",(972) 915-2410,399388513
ID000186,Catherine Harris,"4091 Doe Crossing Alley, Plano, TX",(469) 968-7984,515584650
ID000187,Gary Reyes,"06 Shelley Parkway, Dallas, TX",(972) 985-2014,911946409
ID000188,Clarence Harvey,"637 Blackbird Crossing, Dallas, TX",(972) 735-8046,952372293
ID000189,Kathleen Lynch,"0 Northview Center, Dallas, TX",(469) 858-9821,866263470
ID000190,Angela Myers,"07 Jenifer Point, Plano, TX",(214) 996-3258,696871283
ID000191,Paula Roberts,"2025 Annamark Court, Richardson, TX",(214) 919-1512,525300056
ID000192,Marie Hudson,"35523 Fulton Point, Richardson, TX",(972) 955-0047,455251300
ID000193,Victor George,"16 Butterfield Place, Plano, TX",(469) 982-0024,300833012
ID000194,Judith Lane,"59463 Havey Center, Dallas, TX",(469) 962-1701,568537223
ID000195,Steven Carpenter,"64 Rutledge Court, Richardson, TX",(972) 759-2760,219131583
ID000196,Beverly Welch,"0 7th Point, Richardson, TX",(214) 758-2027,628419882
ID000197,Chris Cox,"386 Coleman Avenue, Richardson, TX",(214) 902-1149,553830248
ID000198,Heather Duncan,"3 Acker Avenue, Richardson, TX",(972) 906-2444,664423811
ID000199,Helen Cooper,"90887 Ohio Trail, Dallas, TX",(214) 723-9307,932052280
ID000200,Linda Dixon,"0506 Boyd Plaza, Richardson, TX",(214) 940-0096,359156568
ID000201,Eric Wood,"730 Bonner Hill, Dallas, TX",(972) 959-7132,377036374
ID000202,Brenda Brooks,"4 Pennsylvania Hill, Dallas, TX",(972) 960-5440,956775994
ID000203,Fred Crawford,"00 Mariners Cove Terrace, Dallas, TX",(972) 978-1543,262729956
ID000204,Alan Morris,"2238 Debra Center, Dallas, TX",(469) 701-3591,935261044
ID000205,Jimmy Watkins,"91873 Colorado Crossing, Dallas, TX",(469) 933-3579,575573479
ID000206,Keith Fisher,"2 Muir Crossing, Richardson, TX",(972) 999-1883,534352839
ID000207,Rose Oliver,"3152 Thackeray Point, Dallas, TX",(214) 971-9384,487483434
ID000208,Johnny Vasquez,"809 Grover Circle, Dallas, TX",(972) 843-5554,282195051
ID000209,Judith Dunn,"337 Northview Point, Dallas, TX",(972) 999-1156,198526239
ID000210,Roger Freeman,"13 Farmco Way, Dallas, TX",(469) 854-9842,165453343
ID000211,Richard Bailey,"3108 Browning Park, Richardson, TX",(214) 718-0392,983870005
ID000212,Ernest Palmer,"66600 Pleasure Drive, Dallas, TX",(214) 238-1120,387201613
ID000213,Janice Long,"26577 Laurel Road, Dallas, TX",(214) 972-0889,440220860
ID000214,Thomas Schmidt,"0 New Castle Crossing, Plano, TX",(469) 745-9014,589602564
ID000215,Kathryn Hayes,"18504 Basil Hill, Dallas, TX",(469) 831-7793,564077138
ID000216,Chris Perkins,"14865 John Wall Center, Plano, TX",(972) 957-3368,106588800
ID000217,Thomas Scott,"449 Schurz Parkway, Dallas, TX",(469) 914-5396,664128122
ID000218,Judy Richards,"9420 Main Hill, Dallas, TX",(469) 871-8324,394694479
ID000219,Janice Garrett,"2998 Chive Place, Dallas, TX",(214) 809-6943,977891063
ID000220,Raymond Peterson,"892 Fairfield Point, Richardson, TX",(469) 947-5199,720120662
ID000221,Marilyn Williams,"0 John Wall Circle, Dallas, TX",(214) 992-8183,344038015
ID000222,Teresa Reid,"9224 Manufacturers Terrace, Dallas, TX",(972) 457-6436,166809145
ID000223,Irene Medina,"51 Southridge Pass, Dallas, TX",(972) 994-3852,628544529
ID000224,Linda Carpenter,"43 Dovetail Road, Dallas, TX",(972) 866-8440,763925219
ID000225,Jonathan Harrison,"113 Havey Crossing, Plano, TX",(469) 900-2769,468306717
ID000226,Laura Graham,"72346 Emmet Place, Dallas, TX",(469) 892-4249,716635871
ID000227,Sharon Pierce,"9 Clove Trail, Dallas, TX",(972) 930-5410,462648746
ID000228,Katherine Boyd,"90 Park Meadow Junction, Dallas, TX",(214) 652-5153,890274530
ID000229,Brian Perkins,"5988 Havey Street, Dallas, TX",(972) 973-2502,875977822
ID000230,Eric Cooper,"7 Granby Road, Dallas, TX",(972) 970-2642,867848327
ID000231,Randy Stanley,"94552 Linden Court, Dallas, TX",(972) 815-8835,907941254
ID000232,Pamela Gutierrez,"50236 Goodland Lane, Plano, TX",(972) 968-2569,319592633
ID000233,Keith Perkins,"9543 Farragut Road, Richardson, TX",(214) 804-0599,145928000
ID000234,Scott Spencer,"5 Lukken Junction, Dallas, TX",(214) 701-4621,361703782
ID000235,Todd Bryant,"418 Onsgard Hill, Dallas, TX",(214) 980-7359,992964866
ID000236,Jose Anderson,"2705 Ohio Junction, Dallas, TX",(214) 530-2752,916548159
ID000237,Amanda Davis,"1636 Norway Maple Place, Plano, TX",(469) 913-5733,133834824
ID000238,Richard Cruz,"69 Marquette Park, Richardson, TX",(469) 902-7741,712128661
ID000239,Sara Walker,"18924 3rd Circle, Dallas, TX",(972) 932-7544,325772883
ID000240,Gloria Sanders,"36961 Green Ridge Place, Dallas, TX",(214) 937-3306,974709717
ID000241,Jonathan Harris,"286 Merry Way, Dallas, TX",(469) 873-4473,584043187
ID000242,Juan Fields,"291 Marquette Parkway, Richardson, TX",(972) 916-7303,152313951
ID000243,Wanda Mills,"79024 Surrey Way, Dallas, TX",(469) 920-6298,950883244
ID000244,Karen Davis,"83 Holy Cross Drive, Dallas, TX",(972) 890-5755,315120643
ID000245,Scott Montgomery,"96247 Oriole Circle, Dallas, TX",(972) 929-5312,328212988
ID000246,Michael Stevens,"356 Shoshone Drive, Dallas, TX",(469) 803-5017,752038294
ID000247,Andrea Baker,"90 Heath Drive, Dallas, TX",(469) 930-1109,223105941
ID000248,Marilyn Alexander,"443 Dottie Circle, Dallas, TX",(972) 406-2617,383362902
ID000249,Harry Alvarez,"636 Express Way, Dallas, TX",(214) 954-5716,556967003
ID000250,Rose Peterson,"034 Shelley Drive, Dallas, TX",(972) 861-4171,760251865
ID000251,Barbara Garcia,"5690 Acker Road, Dallas, TX",(469) 517-8843,196060978
ID000252,Ann Berry,"37940 Morning Hill, Dallas, TX",(972) 918-7984,140562974
ID000253,Paul Turner,"75287 Pleasure Place, Dallas, TX",(972) 782-6768,493924232
ID000254,Theresa Day,"9 American Ash Crossing, Dallas, TX",(972) 909-4722,353189662
ID000255,Andrew Gilbert,"8 American Parkway, Dallas, TX",(972) 834-2804,926428995
ID000256,Alice Turner,"4 Namekagon Lane, Dallas, TX",(214) 660-6741,741117814
ID000257,Julie Smith,"61345 Namekagon Place, Dallas, TX",(469) 861-2346,700238477
ID000258,Alice Carr,"7564 Ohio Plaza, Dallas, TX",(214) 549-1687,390308158
ID000259,Harry Baker,"7 Straubel Center, Plano, TX",(469) 590-5412,941057192
ID000260,Donna Cooper,"1629 Summer Ridge Plaza, Dallas, TX",(469) 957-3027,949376371
ID000261,Laura Rogers,"7776 Summer Ridge Court, Dallas, TX",(972) 730-7675,947047262
ID000262,Jessica Hicks,"17138 Ryan Circle, Dallas, TX",(469) 815-6162,443615562
ID000263,George Turner,"4 Quincy Pass, Richardson, TX",(214) 958-2175,428097397
ID000264,Joan Watkins,"9601 Lerdahl Pass, Plano, TX",(214) 814-9170,354538826
ID000265,Andrea Gonzalez,"127 Russell Hill, Dallas, TX",(972) 809-5959,757213141
ID000266,Billy Little,"46 Autumn Leaf Junction, Dallas, TX",(972) 986-6001,924179942
ID000267,Teresa Marshall,"2 Sheridan Trail, Dallas, TX",(469) 884-2394,778686617
ID000268,Benjamin Lynch,"53 Tennyson Park, Dallas, TX",(469) 877-9851,431200144
ID000269,Nancy Dixon,"4 Dwight Street, Dallas, TX",(972) 770-3641,851350300
ID000270,Jean Dunn,"4 North Street, Dallas, TX",(469) 995-6149,583406101
ID000271,Anthony Gardner,"9823 Donald Terrace, Dallas, TX",(972) 432-3180,125985061
ID000272,Benjamin Morrison,"21 Oriole Terrace, Dallas, TX",(214) 409-6322,750841386
ID000273,Anne Dixon,"9579 Browning Crossing, Dallas, TX",(972) 907-6080,319093742
ID000274,Denise Wallace,"6021 Portage Park, Dallas, TX",(972) 940-4355,585900674
ID000275,Linda Owens,"13 Monterey Alley, Richardson, TX",(214) 836-3577,416383510
ID000276,Larry Warren,"2657 Mitchell Hill, Plano, TX",(972) 938-7212,614685656
ID000277,Edward Hunt,"6 Claremont Avenue, Dallas, TX",(972) 763-1900,984488111
ID000278,Harry Mcdonald,"22283 Farragut Place, Plano, TX",(214) 873-3156,446204077
ID000279,Lawrence Wells,"841 Delaware Place, Dallas, TX",(214) 976-7034,154671759
ID000280,Martin Fuller,"53309 Buhler Place, Dallas, TX",(469) 667-3361,218701729
ID000281,Roger Ellis,"74213 Charing Cross Circle, Dallas, TX",(972) 976-7863,685992971
ID000282,Patrick Moreno,"490 Rockefeller Lane, Dallas, TX",(972) 955-5269,551990871
ID000283,Andrew Cole,"30 Sunfield Pass, Plano, TX",(214) 879-7342,156646797
ID000284,Joan Hudson,"4 Everett Court, Dallas, TX",(214) 954-1417,704857803
ID000285,Chris Powell,"4 Jenifer Circle, Dallas, TX",(469) 726-7925,491796292
ID000286,Anna Perez,"1241 Graceland Court, Dallas, TX",(469) 996-2325,164908064
ID000287,Debra Gray,"251 Monterey Hill, Dallas, TX",(469) 973-4499,857940950
ID000288,Annie Shaw,"561 Cody Crossing, Plano, TX",(214) 764-1587,581462753
ID000289,Shawn Martinez,"19 Lunder Park, Dallas, TX",(469) 986-4161,300468310
ID000290,Mary Graham,"701 Cordelia Court, Dallas, TX",(214) 687-0840,691971438
ID000291,Janet West,"2308 Division Center, Dallas, TX",(214) 978-0541,239904011
ID000292,Aaron Arnold,"5886 Banding Trail, Dallas, TX",(214) 955-5863,702604201
ID000293,Justin Brown,"611 Green Plaza, Plano, TX",(214) 901-6023,253170796
ID000294,George Torres,"64206 Calypso Hill, Dallas, TX",(972) 925-4199,547069057
ID000295,Brian Romero,"4418 Green Ridge Terrace, Dallas, TX",(469) 825-9159,722289325
ID000296,Lawrence Morris,"42 Magdeline Pass, Dallas, TX",(214) 942-2979,488011020
ID000297,Patrick Garcia,"1 Nevada Parkway, Dallas, TX",(469) 827-6118,947939771
ID000298,Ashley Moreno,"067 Morning Park, Dallas, TX",(469) 869-6226,708326866
ID000299,Aaron Ellis,"1925 Grasskamp Alley, Dallas, TX",(469) 937-9272,421790842
ID000300,Jimmy James,"3 Knutson Way, Dallas, TX",(972) 930-8175,554283296
ID000301,Maria Torres,"56168 Arizona Drive, Dallas, TX",(214) 931-8328,271284504
ID000302,Chris Owens,"6 Browning Park, Dallas, TX",(972) 701-4889,453784845
ID000303,Elizabeth Harvey,"1995 Nelson Park, Dallas, TX",(972) 992-9375,556279759
ID000304,Jane Baker,"0062 Sunbrook Junction, Dallas, TX",(469) 754-6653,212619406
ID000305,Lisa Kelley,"272 Larry Drive, Dallas, TX",(469) 930-6637,142068429
ID000306,Jonathan Diaz,"18283 Brown Center, Dallas, TX",(469) 940-2479,205626313
